;Bier;Soort;Alcohol;Brouwerij
387;Campus Gold;blond;6,2%;Brouwerij Huyghe
388;Canaille;witbier;5,2%;Brasserie Grain d'Orge
389;Canaster;scotch;8,7%;Brouwerij De Glazen Toren
390;Cantillon Geuze;spontanegisting;5%;Brouwerij Cantillon
391;Caper Fumatis;donkerbruin;6,3%;Brouwerij Alvinne
392;Capoen;amber;6,5%;De Proefbrouwerij
393;Captain Cooker Manuka Beer;amber;5,7%;De Proefbrouwerij voor Captain Cooker
394;Captain Cooker White Manuka Beer;witbier;4,5%;De Proefbrouwerij voor Captain Cooker
395;Cara Pils;pils;4,4% - 5,2% (variërend);Brouwerij Haacht
396;Caracole;hogegisting,amber;8%;Brasserie Caracole
397;Carioca;witbier;4,8%;De Lion à Plume bij
398;Carlos;donker,hogegisting;6,5%;Brouwerij Contreras
399;Carnavalsbier;blond;6,1%;Brouwerij De Graal
400;Carrousel;hogegisting,blond;6%;Brouwerij De Vlier
401;Caulier Blonde;hogegisting,blond;6,8%;De Proefbrouwerij voor Caulier Developpement
402;Caulier Brune;hogegisting,amberbruin;6,8%;De Proefbrouwerij voor Caulier Developpement
403;Caulier Gluten free Blonde;hogegisting,blond;6,8%;De Proefbrouwerij voor Caulier Developpement
404;Caulier Special Extra;hogegisting,blond;4,3%;De Proefbrouwerij voor Caulier Developpement
405;Caves;hogegisting,amberkleurig;5,8%;Brouwerij Verhaeghe Vichte
406;Ceci n'est pas un Barley Wine;gerstewijn;10%;Brasserie Sainte-Hélène
407;Ceci n'est pas une saison;saison;6,5%;'t Hofbrouwerijke
408;Ceci n'est pas une stout;stout;6,5%;'t Hofbrouwerijke
409;Ceci n'est pas une triple;tripel;8%;'t Hofbrouwerijke
410;Celestus (bier);lager;5%;Brouwerij Haacht
411;Celis White;witbier;5%;Brouwerij Van Steenberge
412;Celtic Angel;hogegisting,amber;6,2%;De Proefbrouwerij
413;Cervesia;hogegisting,blond;8%;Brouwerij Dupont
414;Cervoise de l'Avouerie d'Anthisnes;;5%;Brasserie de Silly
415;Cesar;tripel;8,5%;Brouwerij Van Steenberge
416;Cezarken;lager;5,5%;Brouwerij Strubbe
417;Chapeau Gueuze;geuze;5,5%;Brouwerij De Troch
418;Chapeau Abricot;fruitbier;3,5%;Brouwerij De Troch
419;Chapeau Banana;fruitbier;3,5%;Brouwerij De Troch
420;Chapeau Cuvée Oude Gueuze;oudegeuze;5,5%;Brouwerij De Troch
421;Chapeau Exotic;fruitbier;3,5%;Brouwerij De Troch
422;Chapeau Faro;aangezoetegeuze;4,75%;Brouwerij De Troch
423;Chapeau Fraises;fruitbier;3,5%;Brouwerij De Troch
424;Chapeau Framboise;fruitbier;3,5%;Brouwerij De Troch
425;Chapeau Kriek;fruitbier;3,5%;Brouwerij De Troch
426;Chapeau Lemon;fruitbier;3,5%;Brouwerij De Troch
427;Chapeau Mirabelle;fruitbier;3,5%;Brouwerij De Troch
428;Chapeau Pêche;fruitbier;3,5%;Brouwerij De Troch
429;Chapeau Winter Gueuze;geuze,kerstbier;5,6%;Brouwerij De Troch
430;Charles Quint;lager;8,5%;Haacht
431;Chimay Blauw;trappist;9%;Abdij Notre-Dame de Scourmont
432;Chimay Dobbelbock;lagegisting;9%;Abdij Notre-Dame de Scourmont
433;Chimay dorée;blondtafelbier;4,8%;Abdij Notre-Dame de Scourmont
434;Chimay Rood;trappist;7%;Abdij Notre-Dame de Scourmont
435;Chimay Wit;tripel;8%;Abdij Notre-Dame de Scourmont
436;Chimay Spéciale Cent Cinquante;trappist;10%;Abdij Notre-Dame de Scourmont
437;Chouffe Bok 6666;donkeramber;6,66%;Brouwerij d'Achouffe
438;Christmas Leroy;hogegisting,kerstbier;7,5%;Brouwerij Van Eecke
439;Christmas Verhaeghe;hogegisting,kerstbier;7,2%;Brouwerij Verhaeghe
440;Christmas Pale Ale;hogegisting,kerstbier;6,3%;Brouwerij De Ryck
441;Ciney Blond;hogegisting,blond;7%;Alken-Maes
442;Ciney Bruin;hogegisting,bruin;7%;Alken-Maes (vroeger
443;Ciney Speciale 10;hogegisting,bruin;9%;Alken-Maes (vroeger
444;"Clio ""Sister of Apollo""";goldenale;7,3%;Brouwerij Eutropius
445;Cluysenaer Amber;hogegisting;7%;De Proefbrouwerij voor
446;Cluysenaer Cuvée Noir;hogegisting;8%;De Proefbrouwerij voor
447;Cnudde Bizon;fruitbier;5,5%;Brouwerij Cnudde
448;Cnudde Oudenaards bruin;vlaamsoudbruin;5%;Brouwerij Cnudde
449;Colère Rouge;belgiandarkale;5%;Brasserie Millevertus
450;Content;tripel;7,5%;Brouwerij De Graal
451;Contrapils;pils;5%;Brouwerij Contreras
452;Contreras' Especial Mars;hogegisting,lentebier;6,5%;Brouwerij Contreras
453;Cookie Beer;speciaalbier;8%;Brasserie d'Ecaussinnes
454;Coq Hardi;lagegisting,blond;5,5%;Brouwerij Haacht
455;Cornet;hogegisting,blond;8,5%;Brouwerij Palm
456;Corsendonk Agnus;blondetripel;7,5%;Brouwerij du Bocq
457;Corsendonk Blond;hogegisting;6,5%;Brouwerij du Bocq voor Corsendonk nv
458;Corsendonk Bruin;hogegisting;6,5%;Brouwerij du Bocq voor Corsendonk nv
459;Corsendonk Christmas Ale;kerstbier;8,5%;Brouwerij du Bocq voor Corsendonk nv
460;Corsendonk Pater;roodbruin,dubbel;7,5%;Brouwerij du Bocq voor Corsendonk nv
461;Corsendonk Rousse;amber,hogegisting;8%;Brouwerij du Bocq voor Corsendonk nv
462;Corsendonk Triple 11.11.11;tripel(etiketbier);7,5%;Brouwerij du Bocq voor Corsendonk nv
463;Couckelaerschen Doedel;hogegisting;6,5%;Brouwerij Strubbe
464;Courage;hogegisting,winterbier;8%;Brouwerij De Dochter van de Korenaar
465;Coy'Heimsen;roodbruin,etiketbier;6%;Brouwerij Van Eecke
466;Crabbelaer;dubbel;?;?
467;Crabbelaer;saison;6,5%;Brouwerij De Graal
468;Crack Pils;lagegisting,pils;5%;Brouwerij Het Sas
469;Crianza;mengbiermetlambiek;7%;Brasserie de la Senne
470;Cristal Alken;lagegisting,pils;4,8%;Alken-Maes
471;Cristal 1928;lagegisting,pils;5,8%;Alken-Maes (Heineken)
472;Curtius;hogegisting,blond;7%;Microbrasserie de la Principauté
473;Cuvée Angélique;dubbel,specialbelge;8,3%;Brouwerij De Glazen Toren
474;Cuvée de Bouillon;blond,hogegisting;6,5%;Brasserie de Bouillon
475;Cuvée de Briqville;streekbier;7%;Brouwerij Van Steenberge
476;Cuvée de Briqville;streekbier;?%;Brouwerij Van Goethem
477;Cuvée de ciney;hogegisting,bruin;7%;Alken-Maes (vroeger
478;Cuvée de Francorchamps;;8%;Brouwerij Lefebvre
479;Cuvée De Ranke;gemengdegisting;7%;Brouwerij De Ranke
480;Cuvée des Jacobins;lambiek;5,5%;Brouwerij Bockor
481;Cuvée des Trolls;hogegisting,blond;7%;Brouwerij Dubuisson
482;Cuvée des Trolls Triple;blondetripel;7%;Brouwerij Dubuisson
483;Cuvée Delphine;belgianroyalstout;13%;De Struise Brouwers
484;Cuvée d'Erpigny;quadrupel,oakaged;15%;Brouwerij Alvinne
485;Cuvée du Château;sterkdonker;11%;Brouwerij Van Honsebrouck
486;Cuvée du Flo Ambrée;hogegisting,amber;8,5%;Brasserie du Flo
487;Cuvée du Flo Blonde;hogegisting,blond;8%;Brasserie du Flo
488;Cuvée du Flo Brune;hogegisting,bruin;9%;Brasserie du Flo
489;Cuvée du Flo Fruit;hogegisting,fruitbier;6,5%;Brasserie du Flo
490;Cuvée du Flo Miel;hogegisting,honingbier;8,5%;Brasserie du Flo
491;Cuvée du Tchesté;hogegisting;7,5%;Brasserie Les 3 Fourquets
492;Cuvée du Tchesté;hogegisting;8,5%;Brasserie d'Achouffe
493;Cuvée Ermesinde;hogegisting,amber;7,8%;Brasserie Saint-Monon
494;Cuvée Freddy;stout;10%;Brouwerij Alvinne
495;Cuvée Jeun'homme;blond;6,5%;Brouwerij De Leite
496;Cuvée Jolie Môme;hogegisting,witbier;4,5%;Brasserie du Flo
497;Cuvée Lambikstoemper;oudegeuze;7%;Brouwerij Boon
498;Cuvée Li Crochon;hogegisting,bruin;8,7%;Brasserie Du Bocq
499;Cuvée Mam'zelle;hoogblond;8,5%;Brouwerij De Leite
500;Cuvée René Oude Geuze;oudegeuze;5,5%;Brouwerij Lindemans
501;Cuvée René Oude Kriek;fruitbieropbasisvanlambiek;6%;Brouwerij Lindemans
502;Cuvée Saint-Antoine Blonde;abdijbier;7,5%;Brasserie du Flo (voorheen
503;Cuvée Saint-Antoine Brune;abdijbier,scotch;9%;Brasserie du Flo (voorheen
504;Cuvée Saint Gilloise;spontanegisting;5%;Brouwerij Cantillon
505;Cuvée Soeur'Ise;kriekenbier;8,5%;Brouwerij De Leite
506;Dagelyckx bier;etiketbier;8%;Brouwerij Jessenhofke
507;Darinckdelver;stout;10,5%;Brouwerij Alvinne
508;Dark White BBB;hogegisting;4,5%;Brasserie Fantôme
509;De Boomgaard Framboise;fruitbier;4,9%;Brasserie d'Ecaussinnes
510;de Chokier;hogegisting,amber;7%;De Proefbrouwerij
511;De Eycken Balthazar;donkerbruin;9%;Brouwerij Alvinne
512;De Garre Tripel;tripel;11,5%;Staminee De Garre
513;De Graal Blond;blond;6,5%;Brouwerij De Graal
514;De Graal Dubbel;donker;6,5%;Brouwerij De Graal
515;De Graal Gember;blond;8%;Brouwerij De Graal
516;De Graal SloCK;koperkleurig;6,5%;Brouwerij De Graal
517;De Graal Tripel;tripel;9%;Brouwerij De Graal
518;De Graal Quest;suikervrij;9%;Brouwerij De Graal
519;De Graal Triverius;witbier;6,8%;Brouwerij De Graal
520;De Hoop;blond;9%;De Dolle Brouwers
521;De Kavijaks;indiapaleale;7%;De Dolle Brouwers
522;De Koninck Blond;blond;?%;Brouwerij De Koninck
523;De Koninck;amber;5,2%;Brouwerij De Koninck
524;De Koninck Triple d'Anvers;blond;8%;Brouwerij De Koninck (Duvel-Moortgat)
525;De Koninck Tripel;tripel;8?%;Brouwerij De Koninck
526;De Koninck Winter;robijnrood;6,5%;Brouwerij De Koninck (Duvel-Moortgat)
527;De Maeght van Gottem;donkerblond;6,5%;Huisbrouwerij Sint-Canarus
528;De Nacht;winterbier;5,2%;Brouwerij Vissenaken
529;De Poes;blond,ongefilterd,hogegisting;8%;Brouwerij De Poes
530;De Regenboog IJzer;;6%;Brouwerij De Regenboog
531;De Skieven Architek;hogegisting;10,5%;Brouwerij Van Steenberge
532;De Verboden Vrucht;hogegisting;8,5%;Brouwerij De Kluis
533;De Vlier X-Mas;kerstbier;8,5%;Brouwerij De Vlier
534;Deinze Export;export;4,6%;Huisbrouwerij Sint Canarus
535;Delhaize Christmas;etiketbier;9%;Affligem Brouwerij
536;Delhaize Tafelbier Blond;tafelbier;1,5%;Brouwerij Piedbœuf
537;Delhaize Tafelbier Bruin;tafelbier;1,5%;Brouwerij Piedbœuf
538;Deliria;donker,hogegisting;8,5%;Brouwerij Huyghe
539;Delirium Nocturnum;blond,hogegisting;9%;Brouwerij Huyghe
540;Delirium Tremens;tripel;9%;Brouwerij Huyghe
541;Delirium Christmas;kerstbier;10%;Brouwerij Huyghe
542;Delirium Red;fruitbier;8,5%;Brouwerij Huyghe
543;Delta;blond;6%;Brouwerij Anders!
544;Den Alternatief;lager;5%;Brouwerij Het Alternatief
545;Den Bi3r;tripel;9%;Brouwerij Den Tseut
546;Den Bras;bruin;7,5%;Brouwerij Den Tseut
547;Den Drupneuze;winterbier;8,5%;Brouwerij Den Tseut
548;Den Herberg Amber;amber;5%;Brouwerij Den Herberg
549;Den Herberg Blond;blond;5,5%;Brouwerij Den Herberg
550;Den Herberg Bruin;bruin;5,5%;Brouwerij Den Herberg
551;Den Herberg Tarwe;witbier;5%;Brouwerij Den Herberg
552;Den Mulder;blond;8%;Brouwerij Den Tseut
553;Den Tseut;blond,speciaalbier;6,5%;Brouwerij Den Tseut
554;Den Twaalf;hogegisting;12%;Brouwerij 't Gaverhopke
555;Den Zytholoog;blond;6,6%;Brouwerij De Graal voor bierfirma Vacas
556;Dendermonde Tripel;abdijbier,tripel;8%;Brouwerij De Block
557;Dentergems Wit;witbier;5%;Brouwerij Het Anker
558;Deugniet;tripel(etiketbier);7,3%;Brasserie Du Bocq
559;DeuS;speciaalbier,blond;11,5%;Brouwerij Bosteels
560;Diabolici;tripel;8%;Groep John Martin
561;Dief Gold;blond,hogegisting;8%;Brouwerij Engilsen
562;Dief Silver;blond,hogegisting;6,5%;Brouwerij Engilsen
563;Dikke Mathile;hogegisting;6%;Brouwerij Strubbe
564;Diôle;belgianale;6,5%;Brasserie des Carrières
565;Dobbel Palm;hogegisting;6%;Brouwerij Palm
566;Dobbelen;hogegisting;8%;Brouwerij Roman
567;Dobbelken Amber;streekbier,amber;6,5%;Brouwerij Strubbe
568;Dobbelken Bruin;streekbier,bruin;5%;Brouwerij Strubbe
569;Dogabier;etiketbier;6,5%;Huisbrouwerij Sint-Canarus
570;Domesticus Tripel;streekbier,tripel;8%;Brouwerij De Leite
571;Dominus Dubbel;abdijbier;6,5%;Group John Martin
572;Dominus Tripel;abdijbier,tripel;8%;Group John Martin
573;Donkere Stoere;sterkdonker;8,2%;Brouwerij DijkWaert
574;Double Bie;bruin;6,5%;Brouwerij De Bie
575;Double de Brabant;dubbel,donker;6,5%;Groep John Martin
576;Double Enghien Blonde;hogegisting,blond;7,5%;Brasserie de Silly
577;Double Enghien Brune;hogegisting,amber;8%;Brasserie de Silly
578; Douglas Celtic Brown;donkerescotch;7,9%;Scottish & Newcastle voor
579; Douglas Celtic Lager;blondelager;5%;Scottish & Newcastle voor
580; Douglas Celtic Red;amberrood,hogegisting;7,9%;Scottish & Newcastle voor
581; Douglas Celtic Super;blond,hogegisting;7,9%;Scottish & Newcastle voor
582; Douglas Celtic XXX Strong;blond,hogegisting;12%;Scottish & Newcastle voor
583;Drongens Plezierke;hogegisting,donker;7,5%;Brouwerij Slaghmuylder
584;Draeckenier;goudblond;7,5%;De Proefbrouwerij voor Brouwerij Troch
585;Druïde Blond;lichtblond;6,5%;De Proefbrouwerij voor
586;Druïde Bruin;robijnrood;6,5%;De Proefbrouwerij voor Brouwerij Druïde
587;Druïde Grand Q;tripel,blond;8,5%;De Proefbrouwerij voor Brouwerij Druïde
588;Druivenbier;fruitbier;6%;Brouwerij Van Steenberge
589;Dubbel Buitenlust;blond;8,5%;De Proefbrouwerij
590;Dubbel Klok;donker;8,5%;Brouwerij Boelens
591;Ducassis;fruitbier;3%;Brasserie des Légendes
592;Duchesse de Bourgogne;oudbruin;6,2%;Brouwerij Verhaeghe Vichte
593;Duivels Bier;donker;8%;Brouwerij Boon
594;Dulle Griet;dubbel;6,5%;De Scheldebrouwerij
595;Dulle Teve;tripel;10%;De Dolle Brouwers
596;Duvel;hogegisting;8,5%;Brouwerij Duvel Moortgat
597;Duvel Tripel Hop;hogegisting;9,5%;Brouwerij Duvel Moortgat
598;Echt Kriekenbier;fruitbier;6,8%;Brouwerij Verhaeghe
599;Echte Kriek;fruitbier;6,8%;Brouwerij Verhaeghe
600;Edel-Brau;alcoholarm;0,3%;Brouwerij Strubbe
601;Eerwaarde Pater;waestvlaamsroodbruin;9%;Brouwerij Het Alternatief
602;Egotripel;tripelblond;6,5%;Brouwerij Groenendael
603;Egotripel Dark;donker;7,1%;Brouwerij Groenendael
604;Eeuwige Liefde;sterkdonker;8,2%;Brouwerij DijkWaert
605;Elfique Ambree;amberlichtbitter;7%;André & Valérie Grolet
606;Elfique Rose;friskruidig;6,5%;André & Valérie Grolet
607;Elfique Blonde;blondbitter;6%;André & Valérie Grolet
608;Elfique Brun;bruin,diversemoutsoorten;8%;André & Valérie Grolet
609;Egmont;blond;6,5%;Brouwerij Strubbe
610;Elliot Brew;imperialipa;9%;De Struise Brouwers
611;El Toro;hogegisting,ipa;6,5%;Brouwerij Contreras
612;Embrasse;hogegisting,sterkdonker;9%;Brouwerij De Dochter van de Korenaar
613;Embrasse Embrasse Oak Aged;hogegisting;9%;Brouwerij De Dochter van de Korenaar
614;Embrasse Special Edition;hogegisting,oakaged;9%;Brouwerij De Dochter van de Korenaar
615;Ename Blond;abdijbier,hogegisting;6,5%;Brouwerij Roman
616;Ename Cuvée 974;hogegisting;7%;Brouwerij Roman
617;Ename Cuvée Rouge;hogegisting;7%;Brouwerij Roman
618;Ename Dubbel;abdijbier,hogegisting;6,5%;Brouwerij Roman
619;Ename Pater;abdijbier,hogegisting;%;Brouwerij Roman
620;Ename Tripel;abdijbier,tripel;8,5%;Brouwerij Roman
621;Enfant Terriple;blond,tripel;8,2%;Brouwerij De Leite
622;Enghien Noël;hogegisting,tripel,kerstbier;9%;Brasserie de Silly
623;Estaminet Premium Pils;pils;5,2%;Brouwerij Palm
624;Equinox;bruin;8%;Brasserie de la Senne
625;Eupener Bier;pils;5,2%;Brouwerij Haacht
626;Export 8;pils;4,7%;Brouwerij Haacht
627;Extase;imperial/doubleipa;8,5%;Brouwerij De Dochter van de Korenaar
628;Extra blond;pils;5%;Brouwerij Duvel Moortgat
629;Extra Pilsener;pils;5%;Brouwerij Duvel Moortgat
630;Ezel Bruin;bruin;6,5%;Brouwerij Bavik
631;Ezel Wit;witbier;5,8%;Brouwerij Bavik
632;Fancy;alcoholarm;0,5%;Brouwerij Bavik
633;Fantôme;hogegisting;8%;Brasserie Fantôme
634;Fantôme Chocolat;hogegisting;8%;Brasserie Fantôme
635;Fantôme Spéciale Noel;hogegisting;8%;Brasserie Fantôme
636;Faro Boon;faro;4%;Brouwerij Boon
637;Faro Girardin;faro;5%;Brouwerij Girardin
638;Faro Lambic Lindemans;faro;4,5%;Brouwerij Lindemans
639;Faro Perte Totale;faro;5%;Brouwerij Boon
640;Fasso Blond;blond;6,5%;Brouwerij Vissenaken
641;Felix Kriek Oud Bruin;kriek;6%;Brouwerij Verhaeghe
642;Felix Kriekbier;kriek;5,2%;Brouwerij Verhaeghe voor Brouwerij Clarysse (bierfirma)
643;Felix Oud Bruin;bruin;5,2%;Brouwerij Verhaeghe voor Brouwerij Clarysse (bierfirma)
644;Felix Speciaal Oudenaards;roodbruin;4,6%;Brouwerij Verhaeghe voor Brouwerij Clarysse (bierfirma)
645;Femme Fatale;hogegisting,amber;6,5%;Brouwerij De Leite
646;Ferme Framboos;fruitbier;8%;Brouwerij De Vlier
647;Ferre;quadrupel;10%;Brouwerij Maenhout
648;Festina Lente;donkerbruin;7%;Brouwerij Alvinne
649;Finesse;hogegisting,tripel;8,5%;Brouwerij De Dochter van de Korenaar
650;Flandrien;hogegisting;7%;Brouwerij Louwaege
651;Flodder;hogegisting;8%;De Proefbrouwerij
652;Floreffe Blond;abdijbier;6,3%;Brouwerij Lefebvre
653;Floreffe Dubbel;abdijbier;6,3%;Brouwerij Lefebvre
654;Floreffe Prima Melior;abdijbier;8%;Brouwerij Lefebvre
655;Floreffe Tripel;abdijbier;7,5%;Brouwerij Lefebvre
656;Floreffe Wit-Bier;witbier,abdijbier;4,5%;Brouwerij Lefebvre
657;Florilège de Pensée;fruit-enbloemenbier;9%;Brasserie d'Ecaussinnes
658;Florilège de Rose;fruit-enbloemenbier;9%;Brasserie d'Ecaussinnes
659;Florilège de Sureau;fruit-enbloemenbier;9%;Brasserie d'Ecaussinnes
660;Florilège d’Hibiscus;fruit-enbloemenbier;9%;Brasserie d'Ecaussinnes
661;Floris Cactus;witbier;4,2%;Brouwerij Huyghe
662;Floris Chocolat;bruin;4,2%;Brouwerij Huyghe
663;Floris Fraise;fruitbier;3,6%;Brouwerij Huyghe
664;Floris Framboise;fruitbier;3,7%;Brouwerij Huyghe
665;Floris Griotte;fruitbier;3%;Brouwerij Huyghe
666;Floris Honey;honingbier;4,5%;Brouwerij Huyghe
667;Floris Kriek;fruitbier;3,6%;Brouwerij Huyghe
668;Floris Mango;fruitbier;3,6%;Brouwerij Huyghe
669;Floris Ninkeberry;fruitbier;3,6%;Brouwerij Huyghe
670;Floris Passion;fruitbier;3,6%;Brouwerij Huyghe
671;Floris Pear;fruitbier;3,5%;Brouwerij Huyghe
672;Floris Pomme / Apple;fruitbier;3,5%;Brouwerij Huyghe
673;Floris Witbier;witbier;5%;Brouwerij Huyghe
674;Florival Blond;abdijbier;7%;Affligem Brouwerij
675;Florival Bruin;donkerbruin;7%;Affligem Brouwerij
676;Florival Tripel;tripel;8,5%;Affligem Brouwerij
677;Florival Winter;roodbruin;9%;Affligem Brouwerij
678;Flurk Tripel;blond;8%;Flurkbrouwers
679;Foewerbier;amber;7%;Brouwerij Kerkom
680;Forestinne Ambrosia;amber;7,5%;Brasserie Caracole
681;Forestinne Gothika;scotch;7,5%;Brasserie Caracole
682;Forestinne Mysteria;blondspeciaalbier;7,5%;Brasserie Caracole
683;Forestinne Nordika;kerstbier;7,5%;Brasserie Caracole
684;Forestinne Primoria;blond;7,5%;Brasserie Caracole
685;Fort Lapin 8;tripel;8%;Brouwerij Fort Lapin
686;Fortun;blond;7,5%;'t Hofbrouwerijke
687;Fortha Blonde;blond;;Brouwerij Verkest
688;Fortha Bruin;bruin;;Brouwerij Verkest
689;Fortha Speciaal;;;Brouwerij Verkest
690;Four Aces Barley Wine;amber;9%;Brouwerij Het Nest
691;Four Aces Black IPA;ipa;7%;Brouwerij Het Nest
692;Four Aces Session IPA;blond,ipa;3,5%;Brouwerij Het Nest
693;Four Aces White IPA;ipa;5,3%;Brouwerij Het Nest
694;Framboise Boon;lambiek,fruitbier;6%;Brouwerij Boon
695;Framboise Girardin;lambiek,fruitbier;5%;Brouwerij Girardin
696;Framboise Lindemans;lambiek,fruitbier;2,5%;Brouwerij Lindemans
697;Framboise Max Jacobins;lambiek,fruitbier;3%;Brouwerij Bockor
698;Framboise Oud Beersel;lambiek,fruitbier;5%;Brouwerij Oud Beersel
699;Frasnoise Givrée;amber;6,3%;Brasserie La Frasnoise
700;Frasnoise Rétro;amber;6,3%;Brasserie La Frasnoise
701;Freaky;brownale;3,8%;Brouwerij Alvinne
702;Freaky Dark;lambiek;3,8%;Brouwerij Alvinne
703;Freedom Pils;pils;5,2%;Alken-Maes
704;Fruitig Bierreke;fruitbier;8,2%;Brouwerij DijkWaert
705;Fruitig Bierreke;fruitbier;6%;Brouwerij DijkWaert
706;Gageleer Original;biologischbier;7,5%;De Proefbrouwerij
707;Gageleer Superior Dark;biologischbier;8,5%;De Proefbrouwerij
708;Gageleer Sour White No Hops;biologischbier;4,3%;De Proefbrouwerij
709;Gamma;bruin;6%;Brouwerij Anders!
710;Gandavum Dry Hopping;blond;7,5%;De Proefbrouwerij voor
711;Gaspar;amber;8%;Brouwerij Alvinne
712;Gauloise Ambrée;amber;5,5%;Brasserie Du Bocq
713;Gauloise Blonde;blond;6,3%;Brasserie Du Bocq
714;Gauloise Brune;bruin;8,1%;Brasserie Du Bocq
715;Gauloise Red;fruitbier;8,2%;Brasserie Du Bocq
716;Gauloise Christmas;kerstbier;8,1%;Brasserie Du Bocq
717;Gentse Strop;blond;6,9%;Brouwerij Roman
718;Gentse Tripel;blond;8%;Brouwerij Van Steenberge
719;Gertrude Ambrée;amber,hogegisting;6%;Brasserie de Bouillon
720;Gertrude Triple;tripel;7,5%;De Proefbrouwerij
721;Geuze Cantillon 100% Lambic Bio;geuze;5%;Brouwerij Cantillon
722;Gueuze Girardin;geuze;5%;Brouwerij Girardin
723;Gueuze Girardin gefilterd;geuze;5%;Brouwerij Girardin
724;Geuze Jacobins;geuze;5,5%;Brouwerij Bockor
725;Geuze Lindemans;geuze;5,5%;Brouwerij Lindemans
726;Geuze Mariage Parfait;geuze;8%;Brouwerij Boon
727;Ghulden Cop;donkerblond;6%;Brouwerij De Graal
728;Gigi speciale;tafelbier;2,5%;Brasserie Gigi
729;Gildenbier;hogegisting,bruin;7%;Brouwerij Haacht
730;Ginder Ale;hogegisting,amber;5,1%;InBev
731;Glutaner;glutenvrijpilsener;5,2%;Brouwerij Huyghe
732;Goedendag;cuvée;7,5%;Brouwerij Toye
733;Goedendag;donker;7,5%;Brouwerij Toye
734;Goedendag;goudblond;8%;Brouwerij Toye
735;Goeie Koffe;stout;9,5%;Brouwerij DijkWaert
736;Goliath Blonde;hogegisting,blond;5,5%;Brasserie des Légendes
737;Goliath Triple;hogegisting,tripel;9%;Brasserie des Légendes
738;Golden Kenia;pils;5,1%;Brouwerij Huyghe
739;Golding Campina;pils;4,8%;Alken-Maes
740;Gold Pils;pils;5%;Brouwerij Bavik
741;Gordon 0,00;alcoholvrij;0%;Group John Martin
742;Gordon Finest Chrome;hogegisting;10,5%;Group John Martin
743;Gordon Finest Copper;hogegisting;6,6%;Group John Martin
744;Gordon Finest Gold;hogegisting;10%;Group John Martin
745;Gordon Finest Platinum;hogegisting;12%;Group John Martin
746;Gordon Finest Red;hogegisting,rood;8,4%;Group John Martin
747;Gordon Finest Scotch;scotch;8,6%;Group John Martin
748;Gordon Finest Silver;hogegisting;7,7%;Group John Martin
749;Gordon Finest Zero;alcoholvrij;0%;Group John Martin
750;Gordon Five;pils;5%;Group John Martin
751;Gordon Xmas;kerstbier;8,8%;Brouwerij Palm
752;Goud Vuur;amber,tripel;9%;Brouwerij DijkWaert
753;Gouden Arend 125;goudblond;8,5%;Brouwerij De Ryck
754;Gouden Carolus Ambrio;amber;8%;Brouwerij Het Anker
755;Gouden Carolus Christmas;donkerspeciaalbier;10,5%;Brouwerij Het Anker
756;Gouden Carolus Classic;donkerspeciaalbier;8,5%;Brouwerij Het Anker
757;Gouden Carolus Cuvée van de Keizer Imperial Blond;blondspeciaalbier;10%;Brouwerij Het Anker
758;Gouden Carolus Cuvée van de Keizer Imperial Dark;robijnroodspeciaalbier;11%;Brouwerij Het Anker
759;Gouden Carolus Cuvée van de Keizer Whisky Infused;blondspeciaalbier;11,7%;Brouwerij Het Anker
760;Gouden Carolus Easter;donkerspeciaalbier;10%;Brouwerij Het Anker
761;Gouden Carolus Hopsinjoor;blondspeciaalbier;8%;Brouwerij Het Anker
762;Gouden Carolus Tripel;tripel;9%;Brouwerij Het Anker
763;Gouden Pier Kloeffe;hogegisting,tripel;8,1%;De Proefbrouwerij
764;Goudster;;6,0%;Brouwerij Anders!
765;Gouyasse Tradition;hogegisting,blond;6%;Brasserie des Géants
766;Gouyasse Triple;triple;9%;Brasserie des Géants
767;Grand Cru Bruocsella;lambiek;5%;Brasserie Cantillon
768;Green Buzz;biologisch;6%;Brasserie Millevertus
769;Grelotte;kerstbier;9%;Brasserie Grain d'Orge
770;Gribousine Blonde;hogegisting;8,5%;Brasserie La Binchoise
771;Gribousine Brune;hogegisting;8%;Brasserie La Binchoise (voor Brasserie de Malonne)
772;Gribousine Hiver;winterbier;8,5%;Brasserie La Binchoise (voor Brasserie de Malonne)
773;Griboval;hogegisting;6,5%;Brouwerij Van Den Bossche
774;Grimbergen Blond;abdijbierhogegisting;6,7%;Alken-Maes
775;Grimbergen Cuvée de l'Ermitage;hogegisting;7,5%;Alken-Maes (Heineken - Carlsberg)
776;Grimbergen Dubbel;hogegisting;6,5%;Alken-Maes (Heineken - Carlsberg)
777;Grimbergen Goud 8°;hogegisting,blond;8%;Alken-Maes (Heineken - Carlsberg)
778;Grimbergen Optimo Bruno;hogegisting;10%;Alken-Maes (Heineken - Carlsberg)
779;Grimbergen Selection;donker,dubbel;7%;Alken-Maes (Heineken - Carlsberg)
780;Grimbergen Tripel;tripel;9%;Alken-Maes (Heineken - Carlsberg)
781;Grimbergen Winter;winterbier;6,5%;Alken-Maes (Heineken - Carlsberg)
782;Grisette Ambrée;amber;5%;Brouwerij St-Feuillien
783;Grisette Blanche;witbier;5%;Brouwerij St-Feuillien
784;Grisette Blonde;blond;4,5%;Brouwerij St-Feuillien
